Settlement Name,Project Type,Project Status,Completion Percentage,Start Date,End Date,Project Budget (KES),Infrastructure Level,Population Density,Growth Rate,Need New Infrastructure
Machakos,Hospital,Completed,100,2020-05-10,2021-07-17,31000000,Low,Low,Stable,0
Garissa,Road,Completed,100,2020-02-17,2021-03-25,34000000,High,High,Slow,0
Mandera,Electricity,Delayed,10,2021-06-02,2023-02-02,86000000,Low,Medium,Slow,0
Lodwar,Market,Not Started,0,,,65000000,High,Low,Slow,0
Kericho,Market,In Progress,54,2022-03-08,2022-06-19,45000000,Low,High,Slow,0
Embu,Road,In Progress,48,2022-04-23,2023-04-07,38000000,Low,Low,Rapid,0
Kitale,Water,Completed,100,2019-07-02,2020-05-09,17000000,High,Low,Rapid,0
Lodwar,Road,In Progress,9,2022-07-10,2024-01-26,18000000,Low,High,Stable,0
Kericho,School,In Progress,52,2021-05-31,2022-05-30,42000000,Medium,Medium,Slow,0
Mandera,Water,In Progress,98,2022-03-11,2023-03-27,55000000,High,Low,Slow,0
Voi,Hospital,In Progress,88,2021-11-10,2022-10-29,59000000,Low,Low,Rapid,0
Thika,Bridge,Completed,100,2019-09-12,2020-08-19,42000000,Low,Medium,Slow,0
Naivasha,Road,Completed,100,2020-06-01,2020-10-20,60000000,Medium,Low,Slow,0
Narok,School,In Progress,10,2021-11-03,2022-06-10,92000000,High,High,Slow,0
Machakos,Bridge,In Progress,46,2022-05-22,2023-06-02,40000000,High,Medium,Slow,0
Isiolo,Market,Delayed,25,2022-02-12,2023-07-02,91000000,Low,Medium,Rapid,0
Kitale,Electricity,Not Started,0,,,44000000,High,Medium,Slow,0
Kakamega,Electricity,In Progress,60,2022-12-08,2024-06-01,6000000,Medium,Medium,Stable,0
Meru,Water,Completed,100,2019-05-26,2019-11-01,28000000,Low,Low,Slow,0
Thika,Market,Not Started,0,,,54000000,Low,High,Stable,0
Garissa,Hospital,Delayed,72,2022-09-29,2023-12-02,95000000,Medium,High,Stable,0
Lodwar,Market,Delayed,99,2021-03-07,2022-06-13,62000000,High,Low,Slow,0
Kitale,Hospital,Delayed,73,2021-02-01,2022-04-17,79000000,High,Low,Rapid,0
Nyeri,Market,Delayed,21,2021-10-24,2022-10-25,78000000,Low,Medium,Slow,0
Nyeri,Bridge,Delayed,2,2022-04-03,2023-09-10,64000000,High,Low,Slow,0
Kakamega,School,Not Started,0,,,66000000,Medium,Medium,Rapid,0
Mombasa,Electricity,Not Started,0,,,76000000,Medium,High,Stable,0
Lodwar,Market,Delayed,21,2022-02-01,2022-06-21,9000000,High,Low,Rapid,0
Mombasa,Water,Delayed,98,2021-07-11,2023-02-06,47000000,Low,Low,Slow,0
Kakamega,Market,In Progress,21,2022-11-04,2023-11-09,2000000,Medium,High,Slow,0
Voi,Electricity,Completed,100,2018-11-07,2019-04-24,39000000,Medium,High,Stable,0
Narok,Bridge,Completed,100,2019-01-07,2020-03-24,48000000,High,Low,Rapid,0
Wajir,Road,In Progress,93,2021-12-07,2022-01-12,38000000,Low,Medium,Rapid,0
Kericho,School,In Progress,25,2021-01-06,2022-10-25,67000000,Low,High,Rapid,1
Malindi,Bridge,Delayed,98,2022-07-03,2023-09-25,60000000,Low,High,Rapid,0
Isiolo,Bridge,Not Started,0,,,38000000,High,Medium,Rapid,0
Thika,Bridge,Not Started,0,,,48000000,Medium,Medium,Slow,0
Mombasa,Electricity,Not Started,0,,,13000000,High,Medium,Rapid,0
Kisumu,Hospital,Delayed,33,2021-12-24,2022-07-26,54000000,High,Medium,Stable,0
Embu,Electricity,Delayed,53,2022-07-08,2022-08-21,93000000,Medium,Low,Stable,0
Mandera,Water,Not Started,0,,,30000000,Low,High,Rapid,1
Garissa,Hospital,Delayed,2,2022-12-12,2023-07-07,67000000,Medium,Medium,Rapid,0
Marsabit,Bridge,Delayed,98,2021-07-19,2022-05-17,5000000,Medium,High,Rapid,0
Isiolo,Hospital,Completed,100,2020-11-24,2021-09-25,10000000,High,Low,Rapid,0
Kakamega,Hospital,In Progress,47,2021-06-16,2022-09-24,45000000,Medium,Low,Stable,0
Kitale,Electricity,Completed,100,2020-07-09,2021-03-12,93000000,Medium,High,Rapid,0
Mandera,Electricity,Delayed,13,2021-04-09,2022-06-17,5000000,High,High,Rapid,0
Garissa,Road,Completed,100,2019-04-30,2019-11-12,73000000,Medium,Low,Slow,0
Eldoret,Bridge,Delayed,22,2022-10-26,2022-12-03,45000000,Medium,High,Slow,0
Mombasa,School,Delayed,57,2022-11-06,2024-06-03,19000000,Medium,Medium,Stable,0
Meru,Market,Delayed,56,2022-07-24,2022-11-22,40000000,Low,High,Stable,0
Nakuru,School,In Progress,82,2022-03-11,2022-05-24,60000000,High,High,Slow,0
Nairobi,Road,Completed,100,2020-07-09,2021-01-09,63000000,Medium,Low,Rapid,0
Machakos,Road,Delayed,22,2022-07-15,2023-07-27,42000000,High,High,Slow,0
Nyeri,Bridge,Completed,100,2018-10-03,2019-02-08,57000000,Low,Low,Rapid,0
Eldoret,Market,Delayed,92,2021-05-30,2022-11-04,21000000,High,Medium,Slow,0
Voi,Hospital,Delayed,78,2021-02-14,2021-07-24,23000000,Medium,Medium,Slow,0
Machakos,Market,Completed,100,2018-05-18,2019-02-11,94000000,Medium,High,Stable,0
Lodwar,Bridge,Completed,100,2020-03-20,2020-09-06,85000000,High,Medium,Stable,0
Narok,Road,Not Started,0,,,62000000,Medium,Medium,Rapid,0
Voi,Road,In Progress,28,2021-06-20,2022-03-05,3000000,High,High,Slow,0
Eldoret,Bridge,Delayed,86,2022-03-28,2022-10-14,72000000,High,Medium,Stable,0
Wajir,Road,Not Started,0,,,3000000,High,Medium,Rapid,0
Nyeri,School,Delayed,52,2021-09-10,2022-12-31,93000000,Medium,Low,Slow,0
Nakuru,Water,Not Started,0,,,72000000,Low,Medium,Slow,0
Garissa,Road,Delayed,65,2021-10-29,2022-12-10,61000000,Low,High,Rapid,0
Embu,School,Not Started,0,,,14000000,High,Low,Slow,0
Lodwar,Bridge,Delayed,87,2022-03-20,2023-03-10,75000000,High,Medium,Slow,0
Kitale,Road,Completed,100,2019-07-04,2020-04-12,7000000,Medium,High,Rapid,0
Mombasa,Electricity,In Progress,41,2021-01-01,2022-10-03,48000000,Low,Low,Stable,0
Nyeri,Hospital,Delayed,59,2021-01-16,2021-07-20,5000000,Low,Low,Rapid,0
Marsabit,Road,In Progress,43,2022-09-26,2024-03-13,25000000,Medium,Low,Slow,0
Kisumu,Bridge,Not Started,0,,,45000000,High,High,Stable,0
Machakos,Water,In Progress,66,2022-08-27,2023-12-30,31000000,High,High,Rapid,0
Eldoret,Water,In Progress,21,2022-02-06,2023-12-03,17000000,High,Low,Rapid,0
Mandera,Water,Completed,100,2020-02-16,2020-12-16,71000000,Low,High,Slow,0
Thika,Market,Delayed,77,2021-05-27,2021-12-12,87000000,High,Low,Stable,0
Thika,Market,Not Started,0,,,92000000,Medium,High,Rapid,0
Narok,Road,Delayed,45,2022-08-24,2023-07-25,64000000,Low,Low,Stable,0
Kitale,Bridge,In Progress,86,2022-09-23,2022-12-22,26000000,Low,Low,Slow,0
Meru,Bridge,Not Started,0,,,21000000,Low,High,Slow,0
Kitale,Market,Completed,100,2020-08-24,2021-01-16,29000000,High,Medium,Slow,0
Malindi,School,Delayed,21,2021-11-12,2022-12-01,8000000,Low,High,Slow,0
Kisumu,Road,Not Started,0,,,16000000,Low,Low,Rapid,0
Narok,Water,In Progress,99,2021-01-02,2021-03-14,49000000,High,Low,Rapid,0
Wajir,School,Not Started,0,,,93000000,High,High,Rapid,0
Mandera,Market,Completed,100,2018-06-11,2019-04-22,66000000,High,Low,Stable,0
Kitale,Water,Completed,100,2020-07-01,2021-10-30,88000000,High,Medium,Rapid,0
Kericho,Road,Delayed,51,2022-06-12,2023-08-27,64000000,Low,Low,Stable,0
Thika,School,Delayed,85,2021-12-11,2022-10-12,63000000,Low,Medium,Stable,0
Kitale,Electricity,Completed,100,2020-01-01,2021-04-14,77000000,Low,Medium,Slow,0
Lamu,Bridge,Completed,100,2018-01-12,2019-05-16,54000000,High,Low,Slow,0
Nairobi,Bridge,In Progress,57,2022-06-08,2023-04-22,95000000,Low,Low,Stable,0
Lodwar,Market,Completed,100,2018-11-28,2019-04-11,93000000,Medium,Low,Stable,0
Nairobi,Market,In Progress,58,2022-03-17,2022-12-21,40000000,Low,Medium,Slow,0
Embu,Road,In Progress,20,2022-09-08,2023-12-25,2000000,Medium,High,Slow,0
Wajir,Road,In Progress,90,2021-06-05,2021-08-27,73000000,Medium,Medium,Rapid,0
Kakamega,School,Not Started,0,,,37000000,Medium,Medium,Slow,0
Meru,Hospital,Delayed,98,2021-07-04,2021-08-26,78000000,Low,Low,Slow,0
Wajir,Road,In Progress,85,2022-07-28,2023-05-03,58000000,Low,Medium,Rapid,0
Isiolo,Market,Not Started,0,,,89000000,Medium,Medium,Stable,0
Mombasa,Market,Not Started,0,,,1000000,High,Medium,Slow,0
Machakos,School,In Progress,5,2022-12-01,2024-10-15,68000000,High,Medium,Slow,0
Narok,School,Completed,100,2019-12-12,2021-01-14,17000000,Low,High,Rapid,0
Kitale,Hospital,Not Started,0,,,18000000,High,High,Stable,0
Voi,Water,Completed,100,2018-10-03,2019-08-28,61000000,Medium,Medium,Slow,0
Kakamega,Electricity,Completed,100,2018-01-07,2018-08-31,13000000,Low,Medium,Stable,0
Nakuru,Hospital,Completed,100,2018-06-18,2019-09-09,75000000,High,Medium,Stable,0
Meru,Hospital,In Progress,56,2022-02-18,2023-02-01,2000000,High,Medium,Rapid,0
Naivasha,Road,Completed,100,2018-04-30,2018-11-29,49000000,Low,High,Rapid,0
Garissa,Bridge,Completed,100,2018-07-21,2019-06-19,97000000,High,High,Stable,0
Lodwar,Bridge,Delayed,59,2021-09-29,2022-10-03,5000000,Medium,Medium,Stable,0
Marsabit,Road,Delayed,80,2021-05-01,2023-03-19,44000000,Medium,Medium,Slow,0
Nakuru,School,Completed,100,2020-03-27,2021-05-21,70000000,Low,High,Stable,0
Mombasa,Electricity,Not Started,0,,,8000000,Medium,Medium,Slow,0
Mombasa,School,In Progress,65,2022-05-22,2023-04-08,29000000,Low,High,Rapid,0
Marsabit,Water,Delayed,51,2022-05-18,2023-04-29,40000000,Low,High,Slow,0
