Settlement Name,Project Type,Project Completion Status,Completion Percentage,Project Budget (KES),Requirement,Population,Implementing Partner,Type of Settlement
SET_0001,Market Place Construction,Delayed,78,446820.490701164,Market Place Construction Requirement 0,1860,IP_11,Rural
SET_0002,Hospital Development,Ongoing,51,9680320.7832621,Hospital Development Requirement 1,45131,IP_06,Semi Rural
SET_0003,School Building,Completed On Time,100,1672602.7800445918,School Building Requirement 2,6311,IP_12,Semi Rural
SET_0004,Road Construction,Completed On Time,100,8510776.13406823,Road Construction Requirement 3,26658,IP_15,Semi Urban
SET_0005,Energy,Cancelled,3,44007068.81770908,Energy Requirement 4,68435,IP_09,Urban
SET_0006,School Building,Cancelled,18,3687349.050771393,School Building Requirement 5,11627,IP_02,Semi Urban
SET_0007,Market Place Construction,Ongoing,37,6553856.644987055,Market Place Construction Requirement 6,24483,IP_04,Semi Urban
SET_0008,School Building,Completed Behind Schedule,85,21641908.160569336,School Building Requirement 7,70479,IP_18,Semi Urban
SET_0009,School Building,Completed Behind Schedule,83,34971023.339936234,School Building Requirement 8,72211,IP_08,Semi Urban
SET_0010,Energy,Cancelled,16,53373431.29016367,Energy Requirement 9,92387,IP_13,Urban
SET_0011,Road Construction,Completed On Time,100,9007093.698257573,Road Construction Requirement 10,39044,IP_01,Semi Urban
SET_0012,Market Place Construction,Completed Behind Schedule,98,1509766.299667819,Market Place Construction Requirement 11,3695,IP_01,Semi Rural
SET_0013,Hospital Development,Completed Behind Schedule,88,19571208.21407938,Hospital Development Requirement 12,39660,IP_12,Semi Rural
SET_0014,School Building,Completed Behind Schedule,84,26574756.25398747,School Building Requirement 13,53256,IP_03,Semi Urban
SET_0015,Road Construction,Cancelled,3,58023584.194424056,Road Construction Requirement 14,99018,IP_14,Urban
SET_0016,Hospital Development,Stalled,37,142759.82761365685,Hospital Development Requirement 15,1206,IP_07,Rural
SET_0017,Road Construction,Ongoing,66,17056706.187557865,Road Construction Requirement 16,55268,IP_11,Semi Urban
SET_0018,Water Supply,Completed On Time,100,10476065.464889249,Water Supply Requirement 17,34827,IP_02,Semi Urban
SET_0019,School Building,Ongoing,35,23353534.507475488,School Building Requirement 18,65044,IP_20,Semi Urban
SET_0020,Energy,Completed Behind Schedule,86,22435677.931802556,Energy Requirement 19,43941,IP_20,Semi Urban
SET_0021,Water Supply,Completed On Time,100,26221141.58677189,Water Supply Requirement 20,56016,IP_05,Urban
SET_0022,Road Construction,Completed Behind Schedule,94,26451893.305940747,Road Construction Requirement 21,99098,IP_09,Semi Urban
SET_0023,Market Place Construction,Cancelled,12,17536648.66582569,Market Place Construction Requirement 22,55384,IP_17,Semi Urban
SET_0024,Water Supply,Completed On Time,100,38163651.42003135,Water Supply Requirement 23,86616,IP_05,Semi Urban
SET_0025,Road Construction,Ongoing,73,25883340.532439556,Road Construction Requirement 24,56680,IP_04,Urban
SET_0026,Hospital Development,Delayed,54,6347894.037761826,Hospital Development Requirement 25,13688,IP_11,Semi Urban
SET_0027,Road Construction,Ongoing,45,23582272.410098884,Road Construction Requirement 26,94384,IP_04,Semi Urban
