Settlement Name,Project Type,Project Completion Status,Completion Percentage,Start Date,End Date,Project Budget (KES),Requirement,Population,Implementing Partner,Type of Settlement
Marsabit,School Construction,Completed,100,2018-11-27,2019-03-24,252770.96479384328,N/A,77820,ActionAid,Rural
Kwale,Community Center,Ongoing,39,2020-03-16,,91111.2109192826,N/A,42090,ActionAid,Semi-Rural
Migori,Water Supply,Completed,100,2019-04-20,2019-07-17,61064.55840711255,N/A,29693,World Vision,Rural
Wajir,Community Center,Completed,100,2021-02-28,2022-01-30,418403.0703426841,N/A,68435,World Bank,Rural
Migori,Water Supply,Ongoing,18,2021-10-01,,847017.4276116289,N/A,88313,Save the Children,Rural
Mombasa,School Construction,Completed,100,2018-07-25,2018-11-12,740934.91780564,N/A,49555,Save the Children,Urban
Kwale,Sanitation,Completed,100,2021-02-03,2021-11-19,406566.47687351564,N/A,90475,ActionAid,Semi-Rural
Uasin Gishu,Renewable Energy,Completed,100,2020-09-22,2021-07-18,410946.009412329,N/A,73409,USAID,Rural
Embu,Community Center,Completed,100,2019-12-21,2020-09-12,218201.30832462304,N/A,92387,Save the Children,Semi-Rural
Siaya,Sanitation,Completed,100,2021-03-26,2021-05-09,601836.8738215159,N/A,87779,AMREF,Rural
Nairobi,Water Supply,Completed,100,2020-12-22,2021-06-08,63233.69336850474,N/A,3568,Save the Children,Urban
Bungoma,Community Center,Completed,100,2018-08-19,2018-10-28,513560.09161588136,N/A,62858,World Bank,Semi-Rural
Kitale,Water Supply,Completed,100,2019-02-11,2019-05-13,661419.7547234544,N/A,79603,ActionAid,Semi-Urban
Siaya,Road Construction,Completed,100,2020-08-18,2021-05-01,608161.4798323628,N/A,85651,World Bank,Rural
Kericho,Health Clinic,Completed,100,2020-05-20,2021-03-28,544840.7854525126,N/A,83948,UNICEF,Rural
Embu,Renewable Energy,Completed,100,2020-01-13,2020-10-09,69914.80604599601,N/A,24419,World Vision,Semi-Rural
Laikipia,School Construction,Completed,100,2020-11-25,2021-01-06,385188.1513482221,N/A,72910,Oxfam,Semi-Rural
Kitale,Health Clinic,Completed,100,2020-10-09,2021-03-21,333105.25601929607,N/A,23299,World Bank,Semi-Urban
Trans Nzoia,School Construction,Completed,100,2021-10-03,2022-06-20,452632.13541219593,N/A,49925,Red Cross,Semi-Rural
Narok,Water Supply,Completed,100,2021-07-06,2022-02-18,367490.77276785986,N/A,67842,AMREF,Semi-Rural
Samburu,Water Supply,Completed,100,2021-10-29,2022-05-06,291465.7451506967,N/A,98504,Oxfam,Semi-Rural
Siaya,Water Supply,Completed,100,2021-07-15,2022-06-04,139519.93771107067,N/A,55384,Red Cross,Semi-Rural
Kisumu,Water Supply,Completed,100,2018-01-02,2018-06-10,1730362.8985299917,N/A,86616,Oxfam,Urban
Trans Nzoia,Agriculture,Completed,100,2021-02-27,2021-05-20,433611.75644209917,N/A,91084,Save the Children,Semi-Rural
West Pokot,Community Center,Completed,100,2021-04-22,2021-09-21,596325.909686014,N/A,88455,CARE,Rural
Taita Taveta,Community Center,Completed,100,2020-01-22,2020-07-13,523790.40470496763,N/A,53083,Oxfam,Rural
Garissa,School Construction,Completed,100,2020-08-12,2021-02-04,122504.73023758826,N/A,52663,CARE,Semi-Rural
Laikipia,Renewable Energy,Completed,100,2018-12-04,2019-05-11,72866.21843865496,N/A,9680,Red Cross,Rural
Trans Nzoia,Water Supply,Completed,100,2018-09-20,2019-06-28,305524.2442326029,N/A,48254,AMREF,Semi-Rural
West Pokot,Community Center,Completed,100,2021-08-20,2022-05-30,108346.48157297751,N/A,17371,AMREF,Semi-Rural
Eldoret,Road Construction,Completed,100,2018-07-27,2019-01-03,186230.41164557982,N/A,44016,Save the Children,Semi-Rural
Siaya,Agriculture,Completed,100,2021-12-14,2022-04-26,428460.6402808275,N/A,60040,ActionAid,Semi-Rural
Tana River,Community Center,Completed,100,2020-05-27,2021-01-05,812688.9951980234,N/A,83018,AMREF,Semi-Rural
Tana River,Community Center,Completed,100,2021-07-24,2022-06-22,732634.0488690969,N/A,95179,AMREF,Semi-Rural
Malindi,Renewable Energy,Completed,100,2020-08-12,2020-10-02,706374.4218056846,N/A,87416,World Bank,Semi-Urban
Elgeyo Marakwet,Agriculture,Ongoing,36,2018-08-14,,26145.505524225144,N/A,4436,CARE,Rural
Elgeyo Marakwet,Water Supply,Completed,100,2019-07-01,2020-02-07,367476.18207989744,N/A,95660,UNICEF,Rural
Bungoma,School Construction,Completed,100,2018-10-07,2019-09-03,220900.5290309893,N/A,44525,Oxfam,Rural
Nandi,Health Clinic,Completed,100,2021-03-30,2022-01-09,296635.514471652,N/A,66726,UNICEF,Rural
Kiambu,Water Supply,Completed,100,2019-09-18,2020-07-31,182341.567130321,N/A,24093,World Vision,Rural
Kisii,Renewable Energy,Completed,100,2020-02-24,2020-07-06,356246.79993357963,N/A,57958,USAID,Rural
Garissa,Health Clinic,Completed,100,2020-07-09,2020-08-20,243734.77990461976,N/A,55748,CARE,Semi-Rural
Kitale,Water Supply,Completed,100,2019-02-04,2019-07-25,495128.412686648,N/A,71316,Red Cross,Semi-Urban
Machakos,Health Clinic,Completed,100,2020-05-03,2020-07-22,95505.12871996294,N/A,14403,Save the Children,Rural
Kisii,Sanitation,Completed,100,2020-12-13,2021-04-22,230759.9495896419,N/A,57661,World Vision,Rural
Malindi,Road Construction,Completed,100,2020-06-02,2020-08-17,515936.962594807,N/A,88142,Oxfam,Semi-Urban
Tana River,Renewable Energy,Ongoing,39,2019-10-19,,228186.6968145027,N/A,74523,ActionAid,Semi-Rural
Lamu,School Construction,Ongoing,32,2021-02-24,,59354.60625063602,N/A,26945,World Vision,Rural
Machakos,Road Construction,Completed,100,2021-01-24,2021-06-28,630306.0529673578,N/A,67617,UNICEF,Semi-Rural
Busia,Community Center,Completed,100,2019-08-04,2020-06-06,26638.094768028634,N/A,4343,Oxfam,Rural
Kisumu,School Construction,Completed,100,2021-08-01,2022-04-07,790370.6742593253,N/A,68215,World Vision,Urban
Eldoret,Renewable Energy,Completed,100,2021-05-12,2022-01-14,462462.8025575008,N/A,52293,UNICEF,Semi-Rural
Migori,Renewable Energy,Completed,100,2019-06-06,2020-03-07,364495.07938020886,N/A,63752,Red Cross,Rural
Kwale,Sanitation,Completed,100,2020-02-08,2021-01-27,87355.23415417325,N/A,41158,Red Cross,Rural
Nakuru,Community Center,Completed,100,2020-06-14,2020-12-20,418930.16660694714,N/A,58679,ActionAid,Rural
Homa Bay,Community Center,Completed,100,2019-11-22,2020-03-31,92458.90376165732,N/A,12938,USAID,Semi-Rural
Kisumu,Water Supply,Completed,100,2018-01-12,2018-05-16,850097.0646895684,N/A,70449,UNICEF,Urban
Mombasa,Road Construction,Completed,100,2020-08-27,2020-12-24,303681.9818384749,N/A,28350,World Bank,Urban
Kajiado,Health Clinic,Completed,100,2021-01-03,2021-09-06,62906.11510674667,N/A,21358,AMREF,Rural
Kwale,Sanitation,Completed,100,2021-01-27,2021-04-02,130229.85122575337,N/A,19888,Oxfam,Semi-Rural
Marsabit,Community Center,Completed,100,2021-10-24,2022-05-24,847557.0543768436,N/A,89726,ActionAid,Rural
Bomet,Water Supply,Completed,100,2019-08-19,2020-04-21,112247.96851050034,N/A,22352,World Bank,Semi-Rural
Nyeri,Health Clinic,Ongoing,28,2018-03-17,,117218.16101570376,N/A,48280,World Bank,Rural
Kitale,School Construction,Completed,100,2020-12-28,2021-05-05,547137.276919109,N/A,55098,Red Cross,Semi-Urban
Machakos,Water Supply,Completed,100,2021-03-13,2021-06-07,44903.11493315118,N/A,12130,Red Cross,Rural
Wajir,Sanitation,Completed,100,2021-05-23,2022-01-28,572213.2267325097,N/A,89461,Save the Children,Rural
Naivasha,Sanitation,Completed,100,2021-06-07,2021-07-13,329227.3540309533,N/A,24625,AMREF,Semi-Urban
Nyeri,Community Center,Completed,100,2018-01-29,2018-08-11,547557.5675683599,N/A,63856,World Vision,Semi-Rural
Lamu,Community Center,Completed,100,2018-08-05,2019-07-01,716624.4922103889,N/A,84285,UNICEF,Semi-Rural
Kwale,Agriculture,Completed,100,2019-12-15,2020-02-01,367367.71632079786,N/A,73124,World Bank,Rural
Kisumu,Road Construction,Completed,100,2019-04-01,2020-03-12,163983.21018014287,N/A,10435,USAID,Urban
Mandera,Renewable Energy,Ongoing,72,2021-10-24,,268664.7559670827,N/A,40298,UNICEF,Rural
Narok,Agriculture,Ongoing,70,2020-03-25,,143956.36237746946,N/A,68641,Oxfam,Rural
Meru,Agriculture,Completed,100,2021-11-26,2022-02-10,585885.9730918864,N/A,62642,Oxfam,Rural
Kericho,Renewable Energy,Completed,100,2020-11-01,2021-10-26,643414.4444877076,N/A,69866,UNICEF,Semi-Rural
Meru,Community Center,Completed,100,2021-10-03,2022-04-14,173741.11606822844,N/A,24959,CARE,Semi-Rural
Malindi,Sanitation,Ongoing,73,2019-05-17,,198203.42190357734,N/A,34307,USAID,Semi-Urban
Bungoma,Water Supply,Completed,100,2020-07-13,2020-09-26,478997.1111134872,N/A,56284,UNICEF,Rural
Thika,Sanitation,Completed,100,2018-01-10,2018-12-17,544981.6424586192,N/A,50407,World Bank,Semi-Urban
Elgeyo Marakwet,Sanitation,Ongoing,58,2020-05-02,,10098.589474074159,N/A,2015,Oxfam,Semi-Rural
